Market,Category,Business Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total Wins,Email,Certainty %
Arlington & Mansfield,Allergist,Allergy and Asthma Centres of the Metroplex,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,Orthopedic Surgeon,Alpha Orthopedics and Sports Medicine - Dr. Charles Toulson M.D.,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Arlington & Mansfield,Hair Salon,Avante Salon & Day Spa,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Arlington & Mansfield,Arlington & Mansfieldicure/Pedicure,Avante Salon & Day Spa,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,Emergency Room,Baylor Scott & White Medical Center - McKinney & Alleninney,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,Hospital,Baylor Scott & White Medical Center - McKinney & Alleninney,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Northeast Tarrant County,Hospital,Baylor Scott & White Medical Center Grapevine,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Flower Mound,Maid/Cleaning Service,Buckets & Bows Maid Service,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Northeast Tarrant County,Grocer,Central Market,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Frisco & Plano,College/University,Collin College,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,College/University,Collin College,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,Florist,Edward's Floral Design,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Optometrist,Eyecare Rockwall & Rowlettwall,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Northeast Tarrant County,Barbecue,Feedstore BBQ,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Cosmetic Dentontist,Fisher & ZitteRichardson & Murphy Dentontistry,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,Jewelry Store,Griffins Jewelry,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Women's Boutique,Groovy's,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Private School,Heritage Christian Academy,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Auto Repair Shop,Horizon Auto Center,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,Barbecue,Hutchin's BBQ,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Coppell & North Irving,Pizza,i Fratelli Pizza,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Arlington & Mansfield,Interior Designer,Landry Designs,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Dermatologist,Liberty Dermatology - Dr. Kien Tran,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Italian Restaurant,Luigi's Italian Café,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Arlington & Mansfield,Emergency Room,Arlington & Mansfieldsfield Methodist Hospital,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,Private School,McKinney & Alleninney Christian Academy,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Arlington & Mansfield,Hospital,Methodist Arlington & Mansfieldsfield Medical Center,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,Health Food Store,Mike's Health Collection,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Plastic Surgeon,Regional Plastic Surgery Center,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,Steak,Rick's Chophouse,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Endodontist,Rockwall & Rowlettwall Heath Endodontics - Dr. Ajay Gulati,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Keller,Golf Course,Sky Creek Ranch Golf Club,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Flower Mound,Health Food Store,SProsper & Celinauts Farmers Market,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Northeast Tarrant County,Health Food Store,Sunflower Shoppe,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Emergency Room,Texas Health Hospital Rockwall & Rowlettwall,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Rockwall & Rowlett,Hospital,Texas Health Hospital Rockwall & Rowlettwall,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Flower Mound,Hospital,Texas Health Presbyterian Flower Mound,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
McKinney & Allen,ENT,The ENT & Allergy Centers of Texas,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
Arlington & Mansfield,Dermatologist,United Dermatology Associates,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,11,,
